0,0,13.0,23.0,5.074000000000001,20.296000000000003,3627910.0,1.0,0,25.37,0,2026
1,1,8.0,17.0,5.0,16.0,2650000.0,1.0,1,21.0,1,2016
2,1,3.0,3.0,4.0,20.0,2400000.0,1.0,2,28.7,2,2017
0,2,1.0,23.0,5.420000000000001,21.680000000000003,4745210.0,1.0,3,27.1,3,2027
2,2,12.0,19.0,3.0,16.0,5800000.0,1.0,4,32.0,4,2023
2,3,2.0,3.0,2.0,10.0,1790000.0,1.0,5,12.0,1,1937
0,0,7.0,9.0,4.14,16.56,4010000.0,1.0,6,20.7,0,2028
2,4,8.0,29.0,3.0,16.0,5800000.0,1.0,7,27.5,4,2025
3,0,7.0,9.0,3.6,14.4,2600000.0,1.0,8,18.0,0,2022
0,0,4.0,23.0,5.242000000000001,20.968000000000004,4324650.0,1.0,0,26.21,0,2026
2,2,8.0,17.0,4.0,15.0,3850000.0,1.0,9,27.4,0,2015
1,5,15.0,18.0,0.0,19.7,2350000.0,1.0,10,19.7,5,2011
0,4,5.0,9.0,5.510000000000001,22.040000000000003,7960000.0,1.0,11,27.55,4,2028
2,6,13.0,17.0,4.0,16.3,4590000.0,1.0,7,25.3,4,2021
2,4,1.0,3.0,3.0,15.0,2650000.0,1.0,12,19.0,4,1947
0,2,16.0,23.0,5.1000000000000005,20.400000000000002,4513500.0,1.0,3,25.5,3,2027
2,4,1.0,16.0,3.0,14.4,3400000.0,1.0,13,22.4,4,2019
2,5,17.0,17.0,3.84,15.36,2070000.0,1.0,14,19.2,6,2013
0,4,6.0,14.0,4.658,18.632,6970000.0,1.0,11,23.29,4,2028
2,2,2.0,12.0,5.0,13.4,3990000.0,1.0,15,27.8,0,2024
2,5,2.0,17.0,3.0,11.2,2000000.0,1.0,14,19.2,6,2013
0,2,11.0,23.0,5.0600000000000005,20.240000000000002,4554000.0,1.0,3,25.3,3,2027
2,2,17.0,20.0,3.0,17.0,5100000.0,1.0,16,29.0,4,2017
1,3,8.0,13.0,5.0,18.0,4500000.0,1.0,17,25.8,2,2011
0,0,9.0,24.0,2.3,11.8,5950000.0,1.0,18,27.3,0,2028
2,2,19.0,19.0,5.0,17.0,4790000.0,1.0,19,30.9,0,2016
2,2,2.0,4.0,4.399999999999999,20.0,2226000.0,1.0,20,24.4,0,2024
0,4,7.0,9.0,5.0,13.3,7550000.0,1.0,11,31.71,4,2028
2,6,10.0,17.0,6.5,17.5,5050000.0,1.0,7,24.0,4,2024
2,7,1.0,5.0,2.0,12.0,2550000.0,1.0,21,14.0,7,1960
0,2,3.0,23.0,5.640000000000001,22.560000000000002,5076000.0,1.0,3,28.2,3,2027
2,5,6.0,17.0,5.0,13.4,4250000.0,1.0,22,23.4,6,2020
2,1,4.0,17.0,4.0,10.7,2400000.0,1.0,1,19.7,1,2012
0,0,9.0,9.0,6.720000000000001,26.880000000000003,7640000.0,1.0,6,33.6,0,2028
2,3,11.0,25.0,5.0,22.0,6700000.0,1.0,23,36.0,1,2020
3,1,1.0,3.0,1.0,21.8,2150000.0,1.0,24,25.1,1,2013
0,4,9.0,14.0,5.0,10.0,7760000.0,1.0,11,26.84,4,2028
2,7,10.0,20.0,5.0,20.1,7000000.0,1.0,21,30.1,3,2007
2,1,2.0,3.0,5.0,14.9,2200000.0,1.0,24,24.9,2,2017
0,8,18.0,24.0,43.2,56.2,16360000.0,1.0,25,99.4,8,2025
2,4,13.0,17.0,5.0,14.6,6190000.0,1.0,26,24.6,4,2024
2,3,2.0,3.0,2.0,12.0,2350000.0,1.0,5,18.0,1,1937
0,3,27.0,30.0,8.5,14.7,6203000.0,1.0,27,23.2,2,2026
2,0,7.0,25.0,3.5,8.1,5900000.0,1.0,18,21.3,0,2025
2,5,8.0,18.0,4.0,17.2,2400000.0,1.0,10,21.2,6,2012
0,4,5.0,9.0,10.0,11.4,9340000.0,1.0,11,33.49,4,2028
2,1,3.0,3.0,5.0,17.8,2490000.0,1.0,28,27.8,1,2017
2,3,3.0,17.0,5.0,10.9,2590000.0,1.0,27,21.3,2,2023
0,0,6.0,29.0,5.1,18.5,9152941.0,1.0,29,32.69,8,2026
2,1,10.0,10.0,4.4,33.800000000000004,3800000.0,1.0,30,38.2,2,2017
2,1,3.0,5.0,3.8000000000000003,15.200000000000001,1700000.0,1.0,31,19.0,1,1975
0,6,11.0,17.0,5.0,5.5,4700000.0,1.0,32,19.9,6,2026
2,9,4.0,5.0,3.6200000000000006,14.480000000000002,1850000.0,1.0,33,18.1,2,1970
2,5,7.0,17.0,3.0,11.5,2300000.0,1.0,10,19.5,5,2011
0,0,3.0,29.0,6.6,11.2,7341176.0,1.0,29,25.2,8,2026
2,1,2.0,10.0,4.4,34.1,3400000.0,1.0,34,38.5,2,2017
2,5,4.0,17.0,3.0,16.2,2100000.0,1.0,14,19.2,6,2014
0,6,6.0,8.0,5.0,9.9,5830000.0,1.0,32,24.2,6,2026
2,9,6.0,9.0,5.0,18.9,4500000.0,1.0,35,23.9,2,2014
2,5,4.0,17.0,3.7,9.4,2200000.0,1.0,14,20.2,6,2013
0,8,11.0,16.0,5.1,14.3,6850000.0,1.0,36,28.17,8,2028
2,6,6.0,10.0,10.0,22.5,3450000.0,1.0,37,32.5,9,2024
2,0,3.0,6.0,3.7200000000000006,14.880000000000003,4250000.0,1.0,38,18.6,0,2024
0,4,8.0,29.0,5.48,21.92,5800000.0,1.0,7,27.4,4,2025
2,1,3.0,17.0,5.0,14.0,3500000.0,1.0,39,26.0,1,2025
2,5,15.0,19.0,6.100000000000001,12.0,2150000.0,1.0,14,18.1,5,2013
0,8,10.0,24.0,5.1,14.1,6275000.0,1.0,36,26.06,8,2028
2,1,1.0,3.0,4.0,18.0,2550000.0,1.0,24,27.4,2,2017
2,1,1.0,17.0,5.0,13.0,2350000.0,1.0,1,30.8,1,2014
0,3,7.0,14.0,11.490000000000002,16.7,6852000.0,1.0,27,28.19,2,2026
2,3,7.0,18.0,1.8,10.4,2800000.0,1.0,40,18.2,1,2024
2,3,6.0,16.0,5.0600000000000005,20.240000000000002,3100000.0,1.0,41,25.3,1,2024
0,8,13.0,24.0,5.1,14.9,6600000.0,1.0,36,31.67,8,2028
2,4,11.0,16.0,7.0,20.0,4250000.0,1.0,42,30.7,9,2015
2,1,12.0,18.0,5.5200000000000005,22.080000000000002,2850000.0,1.0,1,27.6,1,2013
0,4,8.0,9.0,10.0,11.4,8890000.0,1.0,11,30.55,4,2028
2,1,1.0,3.0,4.0,14.5,2400000.0,1.0,28,23.5,1,2017
2,5,2.0,17.0,8.600000000000001,10.5,2000000.0,1.0,43,19.1,6,2013
0,0,4.0,29.0,5.6,16.6,11435294.0,1.0,29,34.9,8,2026
2,5,1.0,17.0,11.2,9.0,3150000.0,1.0,10,20.2,6,2013
2,6,5.0,10.0,7.804000000000001,31.216000000000005,2800000.0,1.0,44,39.02,9,2025
0,6,9.0,9.0,7.4,15.5,9305882.0,1.0,45,32.23,4,2027
2,6,3.0,10.0,6.6000000000000005,26.400000000000002,3400000.0,1.0,46,33.0,9,2011
2,6,6.0,10.0,2.7,26.0,3550000.0,1.0,47,39.0,9,2017
0,3,12.0,14.0,12.7,16.1,7303000.0,1.0,27,28.8,2,2026
2,3,5.0,17.0,17.0,25.0,4500000.0,1.0,27,47.0,1,2015
2,1,16.0,18.0,6.0,18.0,3950000.0,1.0,48,24.0,1,2024
0,0,14.0,24.0,3.0,18.0,7350000.0,1.0,18,32.3,0,2028
2,6,17.0,29.0,4.0,15.0,4500000.0,1.0,49,28.97,9,2026
4,7,3.0,29.0,3.0,17.1,3990000.0,1.0,26,20.22,10,2026
0,4,2.0,25.0,5.922000000000001,23.688000000000002,6084753.0,1.0,11,29.61,4,2027
2,3,10.0,27.0,15.0,20.0,4600000.0,1.0,50,41.0,1,2016
2,1,15.0,17.0,6.6,21.7,4000000.0,1.0,51,38.4,1,2017
2,3,8.0,15.0,5.6,13.1,5390000.0,1.0,52,26.7,1,2027
2,0,6.0,18.0,4.0,23.63,4850000.0,1.0,38,27.63,0,2022
2,6,1.0,10.0,6.0,14.6,4050000.0,1.0,53,25.6,5,2011
0,3,20.0,30.0,10.839999999999998,14.9,6703000.0,1.0,27,25.74,2,2026
2,0,7.0,10.0,10.0,13.0,4350000.0,1.0,29,23.0,8,2021
